config,phase,elapsed_s,sim_frame,speed_cmd_mps,speed_mps,throttle,brake,gear,speed_error_mps,speed_error_integral,throttle_ff
A_RESET_CURRENT,pre,2.16,2515704,0.7,0.653922081018651,0.8079277276992798,0.0,1,0.05050320623018767,0.6,0.633
A_RESET_CURRENT,pre,2.18,2515705,0.7,0.6582559109000794,0.8041662573814392,0.0,1,0.04607791898134894,0.6,0.633
A_RESET_CURRENT,pre,2.2,2515706,0.7,0.6624930858893389,0.800482451915741,0.0,1,0.041744089099920556,0.6,0.633
A_RESET_CURRENT,pre,2.22,2515707,0.7,0.6666294575030547,0.7968809008598328,0.0,1,0.037506914110661094,0.6,0.633
A_RESET_CURRENT,pre,2.24,2515708,0.7,0.6706614017789981,0.793364942073822,0.0,1,0.033370542496945266,0.6,0.633
A_RESET_CURRENT,pre,2.2600000000000002,2515709,0.7,0.6745863437963755,0.7899377942085266,0.0,1,0.02933859822100182,0.6,0.633
A_RESET_CURRENT,pre,2.2800000000000002,2515710,0.7,0.6784019470533049,0.7866016030311584,0.0,1,0.025413656203624457,0.6,0.633
A_RESET_CURRENT,pre,2.3000000000000003,2515711,0.7,0.6821067810383403,0.7833583354949951,0.0,1,0.021598052946695034,0.6,0.633
A_RESET_CURRENT,pre,2.32,2515712,0.7,0.6856997967098035,0.7802092432975769,0.0,1,0.01789321896165963,0.6,0.633
A_RESET_CURRENT,pre,2.34,2515713,0.7,0.6891803264955834,0.7771551609039307,0.0,1,0.014300203290196434,0.6,0.633
A_RESET_CURRENT,pre,2.36,2515714,0.7,0.6925484657633401,0.7741967439651489,0.0,1,0.010819673504416594,0.6,0.633
A_RESET_CURRENT,pre,2.38,2515715,0.7,0.6958044052477552,0.7713338136672974,0.0,1,0.007451534236659896,0.6,0.633
A_RESET_CURRENT,pre,2.4,2515716,0.7,0.6989489555723155,0.7685662508010864,0.0,1,0.004195594752244736,0.6,0.633
A_RESET_CURRENT,pre,2.42,2515717,0.7,0.7019828796762616,0.7658933997154236,0.0,1,0.0010510444276844444,0.6,0.633
A_RESET_CURRENT,pre,2.44,2515718,0.7,0.7049075603871733,0.7633058428764343,0.0,1,-0.0019828796762616507,0.5999603424064748,0.633
A_RESET_CURRENT,pre,2.46,2515719,0.7,0.7077244759007708,0.7607982754707336,0.0,1,-0.004907560387173326,0.5998621911987313,0.633
A_RESET_CURRENT,pre,2.48,2515720,0.7,0.7104350567282599,0.7583698630332947,0.0,1,-0.007724475900770855,0.5997077016807159,0.633
A_RESET_CURRENT,pre,2.5,2515721,0.7,0.7130411148507214,0.7560200095176697,0.0,1,-0.01043505672825995,0.5994990005461507,0.633
A_RESET_CURRENT,decel,0.02,2515722,0.5,0.7154067993617963,0.0,0.1704328954219818,1,-0.2130411148507214,0.0,0.515
A_RESET_CURRENT,decel,0.04,2515723,0.5,0.7168092728124731,0.0,0.17232543230056763,1,-0.2154067993617963,0.0,0.515
A_RESET_CURRENT,decel,0.06,2515724,0.5,0.7171031952364229,0.0,0.1734474152326584,1,-0.2168092728124731,0.0,0.515
A_RESET_CURRENT,decel,0.08,2515725,0.5,0.7161412716344339,0.0,0.1736825555562973,1,-0.21710319523642285,0.0,0.515
A_RESET_CURRENT,decel,0.1,2515726,0.5,0.7138417721172303,0.0,0.17291301488876343,1,-0.21614127163443386,0.0,0.515
