kp_brake,phase,elapsed_s,sim_frame,speed_cmd_mps,speed_mps,throttle,brake,gear,manual_gear_shift,speed_error_mps
0.8,decel,0.04,2434872,0.5,0.7168092728124731,0.0,0.17232543230056763,1,0,-0.2154067993617963
0.8,decel,0.06,2434873,0.5,0.7171031952364229,0.0,0.1734474152326584,1,0,-0.2168092728124731
0.8,decel,0.08,2434874,0.5,0.7161412716344339,0.0,0.1736825555562973,1,0,-0.21710319523642285
0.8,decel,0.1,2434875,0.5,0.7138417721172303,0.0,0.17291301488876343,1,0,-0.21614127163443386
0.8,decel,0.12,2434876,0.5,0.7103690624538687,0.0,0.17107342183589935,1,0,-0.21384177211723032
0.8,decel,0.14,2434877,0.5,0.7058627605655575,0.0,0.1682952493429184,1,0,-0.21036906245386866
0.8,decel,0.16,2434878,0.5,0.7004230976243571,0.0,0.16469021141529083,1,0,-0.20586276056555752
0.8,decel,0.18,2434879,0.5,0.6941238403396713,0.0,0.16033847630023956,1,0,-0.20042309762435706
0.8,decel,0.2,2434880,0.5,0.6870246410404638,0.0,0.15529906749725342,1,0,-0.19412384033967134
0.8,decel,0.22,2434881,0.5,0.679179477692865,0.0,0.1496197134256363,1,0,-0.1870246410404638
0.8,decel,0.24,2434882,0.5,0.6706445693972617,0.0,0.14334358274936676,1,0,-0.17917947769286502
0.8,decel,0.26,2434883,0.5,0.6614834308624731,0.0,0.13651566207408905,1,0,-0.1706445693972617
0.8,decel,0.28,2434884,0.5,0.6517683506012161,0.0,0.129186749458313,1,0,-0.16148343086247308
0.8,decel,0.3,2434885,0.5,0.6415822505952155,0.0,0.1214146837592125,1,0,-0.15176835060121607
0.8,decel,0.32,2434886,0.5,0.6310160160072181,0.0,0.11326579749584198,1,0,-0.14158225059521545
0.8,decel,0.34,2434887,0.5,0.6201646804839623,0.0,0.10481281578540802,1,0,-0.13101601600721813
0.8,decel,0.36,2434888,0.5,0.6091217041105976,0.0,0.09613174200057983,1,0,-0.12016468048396234
0.8,decel,0.38,2434889,0.5,0.5979735374680815,0.0,0.08729736506938934,1,0,-0.10912170411059763
0.8,decel,0.4,2434890,0.5,0.586794853262999,0.0,0.078378826379776,1,0,-0.09797353746808146
0.8,decel,0.42,2434891,0.5,0.5756445408979126,0.0,0.06943587958812714,1,0,-0.08679485326299896
0.8,decel,0.44,2434892,0.5,0.5645660879446937,0.0,0.0605156309902668,1,0,-0.07564454089791262
0.8,decel,0.46,2434893,0.5,0.5535886768733382,0.0,0.05165287107229233,1,0,-0.06456608794469365
0.8,decel,0.48,2434894,0.5,0.5427298553374977,0.0,0.04287094250321388,1,0,-0.05358867687333824
0.8,decel,0.5,2434895,0.5,0.5319993985419097,0.0,0.03418388590216637,1,0,-0.042729855337497735
